hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Marco Polo Hop,12.0,13.0,12.5,4.5,5.5,5.0,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,30.0,35.0,32.5,nan,nan,1.1,40.0,50.0,45.0,15.0,25.0,20.0,8.0,12.0,10.0,0.0,1.0,0.5,12.0,37.0,nan
Tsingdao Flower Hop,6.0,8.0,7.0,3.0,4.2,3.6,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,35.0,0.4,0.8,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Agnus Hop,9.0,14.0,11.5,4.0,6.5,5.3,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,29.0,38.0,33.5,2.0,3.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Amethyst Hop,3.5,6.0,4.8,7.0,8.0,7.5,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,20.0,28.0,24.0,0.4,1.0,0.7,41.0,43.0,42.0,18.0,20.0,19.0,5.0,7.0,6.0,0.0,1.0,0.5,29.0,36.0,nan
Bohemie Hop,5.0,8.0,6.5,6.0,9.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,23.0,26.0,24.5,1.0,1.5,1.3,30.0,45.0,37.5,17.0,23.0,20.0,7.0,10.0,8.5,1.0,3.0,2.0,19.0,45.0,nan
Boomerang Hop,10.0,14.0,12.0,5.0,10.0,7.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,32.0,29.5,1.5,3.0,2.3,30.0,53.0,41.5,17.0,24.0,20.5,7.0,11.0,9.0,0.0,1.0,0.5,11.0,46.0,nan
Bor Hop,6.0,9.0,7.5,3.0,5.5,4.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,23.0,26.0,24.5,1.0,2.0,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gaia Hop,12.0,15.0,13.5,5.0,10.0,7.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,20.0,29.0,24.5,1.5,2.5,2.0,23.0,37.0,30.0,2.0,4.0,3.0,9.0,12.0,10.5,5.0,7.0,6.0,40.0,61.0,nan
Harmonie Hop,4.0,8.0,6.0,5.0,8.0,6.5,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,19.0,22.0,20.5,0.9,1.4,1.2,30.0,40.0,35.0,10.0,20.0,15.0,6.0,11.0,8.5,0.0,1.0,0.5,28.0,54.0,nan
Kazbek Hop,5.0,8.0,6.5,4.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,35.0,40.0,37.5,0.9,1.8,1.4,40.0,55.0,47.5,20.0,35.0,27.5,10.0,15.0,12.5,0.0,1.0,0.5,0.0,30.0,nan
